Player,Squad,Comp,Pos,Min,Gls,Ast,Sh,SoT,goals_per_90,assists_per_90,shots_per_90,sot_per_90,shot_accuracy,goal_efficiency,contribution,score
Thierno Barry,Everton,eng Premier League,FW,1765,6,0,35,12,0.3059490084985836,0.0,1.7847025495750708,0.6118980169971672,0.34285714285714286,0.17142857142857143,6,0.0651072440307568
Michy Batshuayi,Eintracht Frankfurt,de Bundesliga,FW,139,1,0,5,1,0.6474820143884893,0.0,3.237410071942446,0.6474820143884893,0.2,0.2,1,0.10043165467625902
Martin Baturina,Como,it Serie A,"MF,FW",1282,6,3,20,7,0.421216848673947,0.2106084243369735,1.40405616224649,0.4914196567862715,0.35,0.3,9,0.09541341653666147
Vakoun Bayo,Udinese,it Serie A,FW,433,0,2,13,2,0.0,0.4157043879907621,2.7020785219399537,0.4157043879907621,0.15384615384615385,0.0,2,0.02863741339491917
Ihlas Bebou,Hoffenheim,de Bundesliga,"FW,MF",190,0,0,5,2,0.0,0.0,2.3684210526315788,0.9473684210526315,0.4,0.0,0,0.021052631578947368
Sheraldo Becker,Osasuna,es La Liga,"FW,MF",158,0,0,3,0,0.0,0.0,1.7088607594936709,0.0,0.0,0.0,0,0.01518987341772152
Sheraldo Becker,Mainz 05,de Bundesliga,FW,719,2,2,23,11,0.25034770514603616,0.25034770514603616,2.878998609179416,1.376912378303199,0.4782608695652174,0.08695652173913043,4,0.058003265404849735
Maximilian Beier,Dortmund,de Bundesliga,"MF,FW",1808,9,4,48,20,0.4480088495575221,0.19911504424778761,2.3893805309734515,0.995575221238938,0.4166666666666667,0.1875,13,0.08285398230088496
Jean-Ricner Bellegarde,Wolves,eng Premier League,"MF,FW",1212,1,1,21,7,0.07425742574257425,0.07425742574257425,1.5594059405940595,0.5198019801980198,0.3333333333333333,0.047619047619047616,2,0.027840641206977844
Andrea Belotti,Cagliari,it Serie A,FW,209,2,0,6,4,0.8612440191387559,0.0,2.583732057416268,1.7224880382775118,0.6666666666666666,0.3333333333333333,2,0.1317384370015949
Lucas Beltrán,Valencia,es La Liga,FW,1365,1,2,34,9,0.06593406593406594,0.13186813186813187,2.241758241758242,0.5934065934065934,0.2647058823529412,0.029411764705882353,3,0.03049773755656109
Adrian Benedyczak,Parma,it Serie A,FW,490,1,1,8,3,0.1836734693877551,0.1836734693877551,1.469387755102041,0.5510204081632653,0.375,0.125,2,0.04908163265306123
Yassine Benhattab,Nantes,fr Ligue 1,"MF,FW",477,0,0,4,1,0.0,0.0,0.7547169811320755,0.18867924528301888,0.25,0.0,0,0.006708595387840671
Mohamed Benoit Dao,Paris FC,fr Ligue 1,FW,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
